device_profile_id,DeviceInfo,id_30,id_31,id_33
SM-J700M Build/MMB29K|UNK|chrome 61.0 for android|UNK,SM-J700M Build/MMB29K,,chrome 61.0 for android,
Trident/7.0|Windows 7|ie 11.0 for desktop|1920x1080,Trident/7.0,Windows 7,ie 11.0 for desktop,1920x1080
rv:57.0|Mac OS X 10.12|firefox 57.0|1440x900,rv:57.0,Mac OS X 10.12,firefox 57.0,1440x900
SM-G950U Build/NRD90M|Android 7.0|chrome 62.0 for android|2220x1080,SM-G950U Build/NRD90M,Android 7.0,chrome 62.0 for android,2220x1080
SAMSUNG SM-G930T Build/NRD90M|Android 7.0|samsung browser 6.2|1920x1080,SAMSUNG SM-G930T Build/NRD90M,Android 7.0,samsung browser 6.2,1920x1080
iOS Device|iOS 11.1.2|chrome 62.0 for ios|2048x1536,iOS Device,iOS 11.1.2,chrome 62.0 for ios,2048x1536
MacOS|Mac OS X 10_10_5|safari generic|1280x800,MacOS,Mac OS X 10_10_5,safari generic,1280x800
Blade V6 Plus Build/MRA58K|UNK|chrome 62.0 for android|UNK,Blade V6 Plus Build/MRA58K,,chrome 62.0 for android,
MacOS|Mac OS X 10_11_5|safari generic|1280x800,MacOS,Mac OS X 10_11_5,safari generic,1280x800
Trident/7.0|Windows 10|ie 11.0 for tablet|1366x768,Trident/7.0,Windows 10,ie 11.0 for tablet,1366x768
BLL-L23 Build/HUAWEIBLL-L23|UNK|chrome 62.0 for android|UNK,BLL-L23 Build/HUAWEIBLL-L23,,chrome 62.0 for android,
iOS Device|iOS 9.3.5|mobile safari 9.0|2048x1536,iOS Device,iOS 9.3.5,mobile safari 9.0,2048x1536
KYOCERA-C6742A Build/LMY47V|Android 5.1.1|chrome generic|960x540,KYOCERA-C6742A Build/LMY47V,Android 5.1.1,chrome generic,960x540
MacOS|Mac OS X 10_10_5|safari generic|1440x900,MacOS,Mac OS X 10_10_5,safari generic,1440x900
Windows|Windows 10|firefox 57.0|1366x768,Windows,Windows 10,firefox 57.0,1366x768
iOS Device|iOS 11.1.2|mobile safari 11.0|2732x2048,iOS Device,iOS 11.1.2,mobile safari 11.0,2732x2048
F3113 Build/33.2.A.4.70|UNK|chrome 62.0 for android|UNK,F3113 Build/33.2.A.4.70,,chrome 62.0 for android,
Trident/7.0|Windows 7|ie 11.0 for desktop|1600x900,Trident/7.0,Windows 7,ie 11.0 for desktop,1600x900
UNK|UNK|mobile safari 10.0|UNK,,,mobile safari 10.0,
iOS Device|iOS 11.1.2|mobile safari generic|2436x1125,iOS Device,iOS 11.1.2,mobile safari generic,2436x1125
iOS Device|iOS 11.1.2|mobile safari generic|1334x750,iOS Device,iOS 11.1.2,mobile safari generic,1334x750
D5306 Build/19.4.A.0.182|UNK|chrome 62.0 for android|UNK,D5306 Build/19.4.A.0.182,,chrome 62.0 for android,
Windows|Windows 7|chrome 62.0|1920x1080,Windows,Windows 7,chrome 62.0,1920x1080
Windows|Windows 10|edge 15.0|1366x768,Windows,Windows 10,edge 15.0,1366x768
Windows|Windows 10|chrome 62.0|1920x1200,Windows,Windows 10,chrome 62.0,1920x1200
Trident/7.0|UNK|ie 11.0 for desktop|UNK,Trident/7.0,,ie 11.0 for desktop,
UNK|UNK|chrome 61.0|UNK,,,chrome 61.0,
M4 SS4457 Build/MRA58K|UNK|chrome 62.0 for android|UNK,M4 SS4457 Build/MRA58K,,chrome 62.0 for android,
SM-G955U Build/NRD90M|Android 7.0|chrome 62.0 for android|UNK,SM-G955U Build/NRD90M,Android 7.0,chrome 62.0 for android,
SM-G610M Build/MMB29K|UNK|other|UNK,SM-G610M Build/MMB29K,,other,
Windows|Windows 7|chrome 62.0|UNK,Windows,Windows 7,chrome 62.0,
SAMSUNG SM-G935F Build/NRD90M|UNK|samsung browser 6.2|UNK,SAMSUNG SM-G935F Build/NRD90M,,samsung browser 6.2,
Windows|UNK|chrome 61.0|UNK,Windows,,chrome 61.0,
UNK|UNK|firefox 57.0|UNK,,,firefox 57.0,
MacOS|Mac OS X 10_13_1|chrome 62.0|2560x1600,MacOS,Mac OS X 10_13_1,chrome 62.0,2560x1600
SM-G610M Build/MMB29K|UNK|chrome 59.0 for android|UNK,SM-G610M Build/MMB29K,,chrome 59.0 for android,
XT1635-01|Android 7.1.1|chrome 62.0 for android|1920x1080,XT1635-01,Android 7.1.1,chrome 62.0 for android,1920x1080
MacOS|Mac OS X 10_13_1|safari generic|2048x1152,MacOS,Mac OS X 10_13_1,safari generic,2048x1152
rv:56.0|UNK|firefox 56.0|UNK,rv:56.0,,firefox 56.0,
SM-G950U Build/NRD90M|Android 7.0|chrome 62.0 for android|2960x1440,SM-G950U Build/NRD90M,Android 7.0,chrome 62.0 for android,2960x1440
MacOS|Mac OS X 10_10_5|safari generic|2560x1600,MacOS,Mac OS X 10_10_5,safari generic,2560x1600
VS500|Android 7.0|android webview 4.0|1280x720,VS500,Android 7.0,android webview 4.0,1280x720
CAM-L03 Build/HUAWEICAM-L03|UNK|chrome 62.0 for android|UNK,CAM-L03 Build/HUAWEICAM-L03,,chrome 62.0 for android,
RCT6303W87M7 Build/MRA58K|Android 6.0|chrome 62.0 for android|1280x800,RCT6303W87M7 Build/MRA58K,Android 6.0,chrome 62.0 for android,1280x800
M4 SS4451 Build/LMY47D|UNK|chrome|UNK,M4 SS4451 Build/LMY47D,,chrome,
KFFOWI Build/LVY48F|Android 5.1.1|chrome generic|1024x600,KFFOWI Build/LVY48F,Android 5.1.1,chrome generic,1024x600
iOS Device|iOS 10.3.1|mobile safari 10.0|2732x2048,iOS Device,iOS 10.3.1,mobile safari 10.0,2732x2048
rv:56.0|Mac OS X 10.9|firefox 56.0|1440x900,rv:56.0,Mac OS X 10.9,firefox 56.0,1440x900
Moto E (4) Build/NMA26.42-19|UNK|chrome generic|UNK,Moto E (4) Build/NMA26.42-19,,chrome generic,
SAMSUNG|UNK|samsung browser 6.2|UNK,SAMSUNG,,samsung browser 6.2,
E2306 Build/26.3.A.1.33|UNK|chrome 62.0 for android|UNK,E2306 Build/26.3.A.1.33,,chrome 62.0 for android,
UNK|UNK|mobile safari 9.0|UNK,,,mobile safari 9.0,
Windows|UNK|chrome 55.0|UNK,Windows,,chrome 55.0,
MacOS|Mac OS X 10_11_6|safari generic|2880x1800,MacOS,Mac OS X 10_11_6,safari generic,2880x1800
Ilium L910 Build/MRA58K|UNK|chrome 62.0 for android|UNK,Ilium L910 Build/MRA58K,,chrome 62.0 for android,
Windows|Windows 7|chrome 61.0|1920x1080,Windows,Windows 7,chrome 61.0,1920x1080
SM-J700M Build/MMB29K|UNK|chrome 62.0 for android|UNK,SM-J700M Build/MMB29K,,chrome 62.0 for android,
GT-I9300|UNK|chrome 62.0 for android|UNK,GT-I9300,,chrome 62.0 for android,
iOS Device|iOS 11.1.2|mobile safari generic|2001x1125,iOS Device,iOS 11.1.2,mobile safari generic,2001x1125
LG-H420 Build/LRX21Y|UNK|other|UNK,LG-H420 Build/LRX21Y,,other,
Windows|Windows 8.1|firefox 57.0|1024x768,Windows,Windows 8.1,firefox 57.0,1024x768
UNK|UNK|opera 49.0|UNK,,,opera 49.0,
Windows NT 6.2|UNK|ie|UNK,Windows NT 6.2,,ie,
XT1032 Build/LPBS23.13-56-2|UNK|chrome 55.0 for android|UNK,XT1032 Build/LPBS23.13-56-2,,chrome 55.0 for android,
GT-I9060M Build/KTU84P|UNK|chrome 62.0 for android|UNK,GT-I9060M Build/KTU84P,,chrome 62.0 for android,
Windows|UNK|edge 15.0|UNK,Windows,,edge 15.0,
rv:38.0|UNK|firefox|UNK,rv:38.0,,firefox,
Moto G (4) Build/NPJS25.93-14-10|UNK|chrome generic|UNK,Moto G (4) Build/NPJS25.93-14-10,,chrome generic,
iOS Device|iOS 11.0.3|mobile safari 11.0|1136x640,iOS Device,iOS 11.0.3,mobile safari 11.0,1136x640
iOS Device|iOS 10.3.3|mobile safari 10.0|1136x640,iOS Device,iOS 10.3.3,mobile safari 10.0,1136x640
Windows|Windows 7|chrome 62.0|1280x1024,Windows,Windows 7,chrome 62.0,1280x1024
SM-G530T|Android 5.1.1|chrome 62.0 for android|960x540,SM-G530T,Android 5.1.1,chrome 62.0 for android,960x540
LGMP260 Build/NRD90U|Android 7.0|chrome 61.0 for android|1280x720,LGMP260 Build/NRD90U,Android 7.0,chrome 61.0 for android,1280x720
SM-E500M Build/KTU84P|UNK|chrome 62.0 for android|UNK,SM-E500M Build/KTU84P,,chrome 62.0 for android,
iOS Device|iOS 11.1.2|mobile safari 11.0|2436x1125,iOS Device,iOS 11.1.2,mobile safari 11.0,2436x1125
SAMSUNG SM-G950U Build/NRD90M|Android 7.0|samsung browser 6.2|2220x1080,SAMSUNG SM-G950U Build/NRD90M,Android 7.0,samsung browser 6.2,2220x1080
Trident/7.0|Windows 7|ie 11.0 for desktop|1280x1024,Trident/7.0,Windows 7,ie 11.0 for desktop,1280x1024
iOS Device|iOS 11.1.1|mobile safari 11.0|2208x1242,iOS Device,iOS 11.1.1,mobile safari 11.0,2208x1242
Windows|Windows 10|chrome 62.0|UNK,Windows,Windows 10,chrome 62.0,
rv:11.0|Windows 7|ie 11.0 for desktop|1600x900,rv:11.0,Windows 7,ie 11.0 for desktop,1600x900
MacOS|Mac OS X 10_12_6|chrome 61.0|1440x900,MacOS,Mac OS X 10_12_6,chrome 61.0,1440x900
Windows|Windows 7|chrome 62.0|1920x1200,Windows,Windows 7,chrome 62.0,1920x1200
iOS Device|iOS 11.1.1|mobile safari 11.0|1334x750,iOS Device,iOS 11.1.1,mobile safari 11.0,1334x750
UNK|Android|chrome 61.0|855x480,,Android,chrome 61.0,855x480
Trident/7.0|Windows 7|ie 11.0 for desktop|UNK,Trident/7.0,Windows 7,ie 11.0 for desktop,
Windows|Windows 7|chrome 62.0|1600x900,Windows,Windows 7,chrome 62.0,1600x900
MacOS|Mac OS X 10_10_5|chrome 62.0|1920x1080,MacOS,Mac OS X 10_10_5,chrome 62.0,1920x1080
rv:57.0|Mac OS X 10.9|firefox 57.0|1440x900,rv:57.0,Mac OS X 10.9,firefox 57.0,1440x900
MacOS|Mac OS X 10_12_6|safari generic|2560x1600,MacOS,Mac OS X 10_12_6,safari generic,2560x1600
MacOS|Mac OS X 10_12_6|chrome 62.0|1920x1080,MacOS,Mac OS X 10_12_6,chrome 62.0,1920x1080
SM-G920I Build/NRD90M|UNK|chrome 62.0 for android|UNK,SM-G920I Build/NRD90M,,chrome 62.0 for android,
Windows|Windows Vista|chrome 49.0|1366x768,Windows,Windows Vista,chrome 49.0,1366x768
Windows|Windows 8.1|chrome 62.0|1600x900,Windows,Windows 8.1,chrome 62.0,1600x900
MacOS|Mac OS X 10_13_1|safari generic|4096x2304,MacOS,Mac OS X 10_13_1,safari generic,4096x2304
Trident/7.0|Windows 7|ie 11.0 for desktop|1366x768,Trident/7.0,Windows 7,ie 11.0 for desktop,1366x768
Windows|Windows 7|chrome 62.0|1024x768,Windows,Windows 7,chrome 62.0,1024x768
Trident/7.0|Windows 10|ie 11.0 for desktop|UNK,Trident/7.0,Windows 10,ie 11.0 for desktop,
iOS Device|iOS 11.1.1|mobile safari 11.0|2048x1536,iOS Device,iOS 11.1.1,mobile safari 11.0,2048x1536
rv:11.0|UNK|ie 11.0 for desktop|UNK,rv:11.0,,ie 11.0 for desktop,
Windows|Windows Vista|chrome 49.0|1280x800,Windows,Windows Vista,chrome 49.0,1280x800
iOS Device|iOS 11.0.3|mobile safari 11.0|1334x750,iOS Device,iOS 11.0.3,mobile safari 11.0,1334x750
Trident/7.0|Windows 7|ie 11.0 for desktop|1440x900,Trident/7.0,Windows 7,ie 11.0 for desktop,1440x900
iOS Device|iOS 10.3.2|mobile safari 10.0|2208x1242,iOS Device,iOS 10.3.2,mobile safari 10.0,2208x1242
Windows|Windows 10|chrome 62.0|1600x900,Windows,Windows 10,chrome 62.0,1600x900
Windows|Windows 7|chrome 62.0|1440x900,Windows,Windows 7,chrome 62.0,1440x900
MacOS|Mac OS X 10_11_6|chrome 62.0|1920x1080,MacOS,Mac OS X 10_11_6,chrome 62.0,1920x1080
Windows|Windows 10|chrome 62.0|1280x1024,Windows,Windows 10,chrome 62.0,1280x1024
Windows|Windows Vista|ie|1366x768,Windows,Windows Vista,ie,1366x768
Windows|Windows 7|ie 11.0 for desktop|1920x1080,Windows,Windows 7,ie 11.0 for desktop,1920x1080
Windows|Windows 7|firefox 57.0|1440x900,Windows,Windows 7,firefox 57.0,1440x900
iOS Device|iOS 10.3.1|mobile safari 10.0|2001x1125,iOS Device,iOS 10.3.1,mobile safari 10.0,2001x1125
UNK|UNK|chrome 49.0|UNK,,,chrome 49.0,
MacOS|Mac OS X 10_13_1|safari generic|2560x1440,MacOS,Mac OS X 10_13_1,safari generic,2560x1440
Windows|Windows 10|edge 16.0|UNK,Windows,Windows 10,edge 16.0,
Windows|Windows 7|chrome 62.0|1280x800,Windows,Windows 7,chrome 62.0,1280x800
MacOS|Mac OS X 10_11_6|chrome 61.0|2560x1600,MacOS,Mac OS X 10_11_6,chrome 61.0,2560x1600
iOS Device|iOS 11.0.2|mobile safari 11.0|2732x2048,iOS Device,iOS 11.0.2,mobile safari 11.0,2732x2048
Windows|UNK|edge 14.0|UNK,Windows,,edge 14.0,
Windows|Windows 7|chrome 62.0|1680x1050,Windows,Windows 7,chrome 62.0,1680x1050
Trident/7.0|Windows 10|ie 11.0 for desktop|1920x1080,Trident/7.0,Windows 10,ie 11.0 for desktop,1920x1080
Windows|Windows 10|edge 15.0|1600x900,Windows,Windows 10,edge 15.0,1600x900
rv:57.0|Mac OS X 10.11|firefox 57.0|1920x1080,rv:57.0,Mac OS X 10.11,firefox 57.0,1920x1080
Windows|Windows 10|firefox 57.0|1920x1080,Windows,Windows 10,firefox 57.0,1920x1080
Windows|Windows 10|firefox 57.0|1600x900,Windows,Windows 10,firefox 57.0,1600x900
SAMSUNG SM-J327T Build/NRD90M|Android 7.0|samsung browser 6.2|1280x720,SAMSUNG SM-J327T Build/NRD90M,Android 7.0,samsung browser 6.2,1280x720
Trident/7.0|Windows 7|ie 11.0 for desktop|1680x1050,Trident/7.0,Windows 7,ie 11.0 for desktop,1680x1050
rv:52.0|Windows Vista|firefox 52.0|1280x800,rv:52.0,Windows Vista,firefox 52.0,1280x800
MacOS|Mac OS X 10_10_5|chrome 61.0|1920x1080,MacOS,Mac OS X 10_10_5,chrome 61.0,1920x1080
SM-G900H Build/MMB29K|UNK|chrome 60.0 for android|UNK,SM-G900H Build/MMB29K,,chrome 60.0 for android,
TRT-L53 Build/HUAWEITRT-L53|UNK|chrome 62.0 for android|UNK,TRT-L53 Build/HUAWEITRT-L53,,chrome 62.0 for android,
rv:11.0|Windows 10|ie 11.0 for desktop|1920x1080,rv:11.0,Windows 10,ie 11.0 for desktop,1920x1080
Android 6.0.1|UNK|android webview 4.0|UNK,Android 6.0.1,,android webview 4.0,
MacOS|Mac OS X 10_12_6|safari generic|1440x900,MacOS,Mac OS X 10_12_6,safari generic,1440x900
UNK|UNK|chrome|UNK,,,chrome,
MacOS|Mac OS X 10_9_5|safari generic|2880x1800,MacOS,Mac OS X 10_9_5,safari generic,2880x1800
Windows|Windows 10|edge 14.0|2160x1440,Windows,Windows 10,edge 14.0,2160x1440
Moto G Play Build/MPIS24.241-15.3-26|UNK|chrome 62.0 for android|UNK,Moto G Play Build/MPIS24.241-15.3-26,,chrome 62.0 for android,
Trident/7.0|Windows 10|ie 11.0 for desktop|1280x1024,Trident/7.0,Windows 10,ie 11.0 for desktop,1280x1024
iOS Device|iOS 10.3.3|chrome 62.0 for ios|2048x1536,iOS Device,iOS 10.3.3,chrome 62.0 for ios,2048x1536
MacOS|Mac|safari generic|1366x768,MacOS,Mac,safari generic,1366x768
Nexus 6P Build/OPR5.170623.011|Android 8.0.0|UNK|2562x1442,Nexus 6P Build/OPR5.170623.011,Android 8.0.0,,2562x1442
rv:56.0|Mac OS X 10.11|firefox 56.0|1440x900,rv:56.0,Mac OS X 10.11,firefox 56.0,1440x900
Windows|Windows 10|edge 16.0|1600x900,Windows,Windows 10,edge 16.0,1600x900
UNK|Android|chrome 62.0|801x480,,Android,chrome 62.0,801x480
Windows|Windows 10|edge 14.0|1920x1080,Windows,Windows 10,edge 14.0,1920x1080
Windows|Windows 8.1|chrome 62.0|1920x1080,Windows,Windows 8.1,chrome 62.0,1920x1080
Trident/7.0|Windows 10|ie 11.0 for tablet|2736x1824,Trident/7.0,Windows 10,ie 11.0 for tablet,2736x1824
MacOS|Mac OS X 10_13_1|safari generic|1920x1080,MacOS,Mac OS X 10_13_1,safari generic,1920x1080
iOS Device|iOS 10.2.0|mobile safari 10.0|1136x640,iOS Device,iOS 10.2.0,mobile safari 10.0,1136x640
Trident/7.0|Windows 10|ie 11.0 for tablet|1920x1080,Trident/7.0,Windows 10,ie 11.0 for tablet,1920x1080
SGP521|UNK|chrome 62.0 for android|UNK,SGP521,,chrome 62.0 for android,
VS988 Build/NRD90U|Android 7.0|chrome 62.0 for android|2672x1440,VS988 Build/NRD90U,Android 7.0,chrome 62.0 for android,2672x1440
Windows|Windows 10|edge 15.0|1680x1050,Windows,Windows 10,edge 15.0,1680x1050
SM-G531H Build/LMY48B|UNK|chrome 57.0 for android|UNK,SM-G531H Build/LMY48B,,chrome 57.0 for android,
Trident/7.0|Windows 10|ie 11.0 for desktop|1600x900,Trident/7.0,Windows 10,ie 11.0 for desktop,1600x900
UNK|UNK|chrome 56.0|UNK,,,chrome 56.0,
Moto C Build/NRD90M.063|UNK|chrome 62.0 for android|UNK,Moto C Build/NRD90M.063,,chrome 62.0 for android,
MacOS|Mac OS X 10_11_6|chrome 62.0|4096x2304,MacOS,Mac OS X 10_11_6,chrome 62.0,4096x2304
MacOS|Mac OS X 10_11_6|chrome 62.0|2560x1600,MacOS,Mac OS X 10_11_6,chrome 62.0,2560x1600
LG-K410 Build/LRX22G|UNK|chrome 59.0 for android|UNK,LG-K410 Build/LRX22G,,chrome 59.0 for android,
Trident/7.0|Windows 7|ie 11.0 for desktop|1920x1200,Trident/7.0,Windows 7,ie 11.0 for desktop,1920x1200
Windows|Windows 7|chrome 62.0|3441x1440,Windows,Windows 7,chrome 62.0,3441x1440
Windows|Windows 10|opera 49.0|UNK,Windows,Windows 10,opera 49.0,
MacOS|Mac OS X 10_12_6|safari generic|1920x1080,MacOS,Mac OS X 10_12_6,safari generic,1920x1080
Windows|Windows 10|firefox 57.0|UNK,Windows,Windows 10,firefox 57.0,
MacOS|Mac OS X 10_9_5|opera 49.0|1280x800,MacOS,Mac OS X 10_9_5,opera 49.0,1280x800
SM-G935F Build/MMB29K|UNK|chrome 62.0 for android|UNK,SM-G935F Build/MMB29K,,chrome 62.0 for android,
Moto C Plus Build/NRD90M.05.022|UNK|chrome 56.0 for android|UNK,Moto C Plus Build/NRD90M.05.022,,chrome 56.0 for android,
LG-X180g Build/LMY47I|UNK|chrome 46.0 for android|UNK,LG-X180g Build/LMY47I,,chrome 46.0 for android,
Trident/7.0|Windows 10|ie 11.0 for tablet|UNK,Trident/7.0,Windows 10,ie 11.0 for tablet,
MacOS|Mac OS X 10_13_1|safari generic|1440x900,MacOS,Mac OS X 10_13_1,safari generic,1440x900
SM-G925P Build/NRD90M|UNK|chrome 56.0 for android|UNK,SM-G925P Build/NRD90M,,chrome 56.0 for android,
es-us|UNK|android webview 4.0|UNK,es-us,,android webview 4.0,
Windows|Windows 7|firefox 57.0|1920x1200,Windows,Windows 7,firefox 57.0,1920x1200
Windows|UNK|ie 11.0 for desktop|UNK,Windows,,ie 11.0 for desktop,
Windows|Windows 7|firefox 57.0|1920x1080,Windows,Windows 7,firefox 57.0,1920x1080
Windows|Windows 10|edge 15.0|2736x1824,Windows,Windows 10,edge 15.0,2736x1824
MacOS|Mac OS X 10_10_5|safari generic|1920x1080,MacOS,Mac OS X 10_10_5,safari generic,1920x1080
Windows|Windows 7|chrome 58.0|1600x900,Windows,Windows 7,chrome 58.0,1600x900
iOS Device|iOS 10.3.3|mobile safari 10.0|1334x750,iOS Device,iOS 10.3.3,mobile safari 10.0,1334x750
iOS Device|iOS 11.1.1|mobile safari 11.0|2436x1125,iOS Device,iOS 11.1.1,mobile safari 11.0,2436x1125
MacOS|Mac OS X 10_11_6|safari generic|1280x800,MacOS,Mac OS X 10_11_6,safari generic,1280x800
SM-G920V Build/NRD90M|Android 7.0|chrome 62.0 for android|2560x1440,SM-G920V Build/NRD90M,Android 7.0,chrome 62.0 for android,2560x1440
SM-G935T Build/NRD90M|Android 7.0|chrome 62.0 for android|1920x1080,SM-G935T Build/NRD90M,Android 7.0,chrome 62.0 for android,1920x1080
Moto E (4) Plus Build/NMA26.42-69|UNK|chrome generic|UNK,Moto E (4) Plus Build/NMA26.42-69,,chrome generic,
iOS Device|iOS 11.1.1|mobile safari 11.0|1136x640,iOS Device,iOS 11.1.1,mobile safari 11.0,1136x640
MacOS|Mac OS X 10_7_5|chrome 49.0|1920x1080,MacOS,Mac OS X 10_7_5,chrome 49.0,1920x1080
iOS Device|iOS 10.3.1|mobile safari 10.0|2208x1242,iOS Device,iOS 10.3.1,mobile safari 10.0,2208x1242
iOS Device|iOS 10.2.1|mobile safari 10.0|2048x1536,iOS Device,iOS 10.2.1,mobile safari 10.0,2048x1536
